,,,Please Subscibe ,https://www.linkedin.com/in/yashkavaiya/
Join our telegram for more details :- t.me/iitmdiplomanotes YouTube :- https://www.youtube.com/channel/UCNeF1FuCGYsBEUnOxCk9Jnw/videos,,,,
Producitity Hack  ,USe Awosme screenshot to post question in Discourse ,,https://chrome.google.com/webstore/detail/awesome-screenshot-and-sc/nlipoenfbbikpbjkfpfillcgkoblgpmj,
,Krisp (AI Based Background noise remover ),,https://krisp.ai/?ref=svnit,
Week :1 ,Module 1: Discover the Data,Link,Github Awesome data,https://github.com/awesomedata/awesome-public-datasets
,,Link,Kaggle Dataset,https://www.kaggle.com/
,,Link,Google dataset search,https://datasetsearch.research.google.com/
,,Link,Govt data,https://data.gov.in/
,,Link,Data Community,https://datameet.org/
,,Link,Map Data,https://gadm.org/
,,Link,Bhuvan ,https://bhuvan.nrsc.gov.in/home/index.php
,,Link,MapShaper lets you view,https://mapshaper.org/
,, Video ,DBF opener:,https://www.dbfopener.com/
,, Video ,Amazon personal data,https://www.youtube.com/shorts/_4G-9XK8KAU
,, Video ,Google takeout,https://www.youtube.com/watch?v=bbbHm0cpoBI
,,Code,Linkedin data Visulazation ,https://jovian.ai/deepa-sarojam/linkedin-data-visualization
,,Link,IMDB Movie dataset,https://www.imdb.com/interfaces/
Week :-2,Get the Data,Link,IMDB Movie personal viz,https://gramener.com/imdb/
,,Link,HowSTAT! The Cricket Statisticians,http://www.howstat.com/cricket/home.asp
,,Link,Chennai 14 Day Extended Forecast,https://www.timeanddate.com/weather/india/chennai/ext
,,Link,ExcelScrapping,https://docs.google.com/spreadsheets/d/1tvmgTM6xzBN1ycWDlW7vVsIP_afoNZFp/edit#gid=2048997385
,,Link,Cricket Viz,https://gramener.com/cricket/
,,Code ,BBC Weather location API with Python,https://jovian.ai/yash-kavaiya/2-bbc-location-id-weather-scraping
,,Code ,BBC Weather data with Python,
,,Code ,geocoding-using-nominatim,https://jovian.ai/yash-kavaiya/1-geocoding-using-nominatim
,,Code ,Wikipedia data with Wikimedia Python library,https://jovian.ai/yash-kavaiya/wikipedia-lib
,,Code ,Scrape PDFs with Tabula Python library,
,,Link,Google Chrome Dev,https://developer.chrome.com/docs/devtools/overview/
,,Software,Easy Web Scraping for Anyone,https://www.octoparse.com/
,,Code,Yelp web scriping project,https://jovian.ai/anushree-k/restaurant-listings-notebook
,,Code,TeleGram Quiz Scraper,https://jovian.ai/yash-kavaiya/telegram-quiz-scrape
,,,Open Street web scraping,https://jovian.ai/anushree-k/extracting-data-from-openstreetmap-using-webscarpping
,,,Crypto WEB SCRIPING,https://jovian.ai/adityahebbarnhnm/nft-web-scraping
,,,Job Post Web scrape,https://jovian.ai/ariblinder/ari-blinder-indeed-web-scraping
,,,FLIPKART SCRAPE,https://jovian.ai/prasanthi-vvit/web-scraping-2
,,Link ,Bright Data (Advanced Webscriping ),https://dash.partnerstack.com/invite/ea56ad281024465cbe4537107efa9caa
:-Week 3,Prepare the Data,Link,Xpdf,https://www.xpdfreader.com/pdftotext-man.html
,,Link,,https://gramener.com/election/live
,,,scraping assembly elections,https://jovian.ai/yash-kavaiya/election
,,,Data Cleaning Excersie,https://docs.google.com/spreadsheets/d/1QJyLNDWpFYRJsSuXbPkUxRmS7eWHtXMn/edit#gid=45153694
,,,,
,,Video,pandas-profiling,https://youtu.be/OlSfiRZ0Coo
,,Link,pandas-profiling,https://github.com/ydataai/pandas-profiling
,,Code,pandas-profiling,https://jovian.ai/yash-kavaiya/pandas-profiling
,,Software,OpenRefine,https://openrefine.org/
,,,Week3Assigment ,https://docs.google.com/spreadsheets/d/1JBqF2_yTWZiU2fWO4B1fNCFUUJOS6Mp5F6Q5dQ5x7IA/edit
,,,,
week 4,Model the data,Video,Correlation ,https://www.khanacademy.org/math/ap-statistics/bivariate-data-ap/correlation-coefficient-r/v/correlation-coefficient-intuition-examples
,,Excel file,Correlation_2,https://docs.google.com/spreadsheets/u/0/d/1K0NPdl8RpoWmqrcUre8Pbroy3rkrQM9q/edit?fromCopy=true
,,Video,Correlation ,https://youtu.be/Aj3PGsH_hIg
,,Link,Our Worldin Data,https://ourworldindata.org/covid-vaccinations?country=OWID_WRL
,,Video,Regression,https://www.khanacademy.org/math/ap-statistics/bivariate-data-ap/least-squares-regression/v/calculating-the-equation-of-a-regression-line
,,Excel file,Regression,https://docs.google.com/spreadsheets/u/0/d/1Iyfjsu4T9bfHRnQf4L4bwl7G-6C0foi8/edit?fromCopy=true
,,,,https://jovian.ai/yash-kavaiya/predict-currency
,,Excel file,IQR and Outlier,https://www.khanacademy.org/math/ap-statistics/quantitative-data-ap/xfb5d8e68:describing-distribution-quant/v/classifying-distributions
,,Video,IQR and Outlier,https://youtu.be/jjRwZzgFhXY
,,,Assignment,
,,,IPL Data Analytics,https://jovian.ai/birajde9/ipl-data-analysis-1
,,,FIFA EDA,https://jovian.ai/ram9008478075/my-eda-project
,,,,
,,,Code basics Decision Tree Example (Begginer):-,https://youtu.be/PHxYNGo8NcI
,,,Code,https://jovian.ai/yash-kavaiya/titanic-decision-tree-exercise
,,,,
,,,Decision Tree End to End Industry Level Project :-,https://youtu.be/d6xH6k7_Zv4
,,,Code:-,https://jovian.ai/yash-kavaiya/sklearn-decision-trees-random-forests-d0ff5
,,,Krish naik :-,https://www.youtube.com/watch?v=dGNJ-feQLC4
,,,Decision Trees Geometric Intuition CampusX :,https://youtu.be/gwgmSSTdiXs
,,,Decision Tree By GDG :-,https://www.youtube.com/watch?v=tNa99PG8hR8
,,,Gini Index and Information gain in Decision Tree,https://youtu.be/-W0DnxQK1Eo
,,,,
,,,,
,,,,https://jovian.ai/yash-kavaiya/k-mean-clustering-stock
,,,,
,,,,
,,,,
,,,,
,,,,
Module 5a,Deep learning models,,Excel Sentiment Analysis Workbook,https://docs.google.com/spreadsheets/d/1ZwGixdzUClEF9L1_Ec4t9zB8Ls3-zZdu/edit#gid=658929509
,,,Excel Azure ML,https://appsource.microsoft.com/en-us/product/office/wa104379638?tab=overview
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Module 5a,Deep learning models,,,https://www.diva-gis.org/
,,Software,QGIS,https://www.qgis.org/en/site
,,Website,Google My map,https://www.google.com/maps/d/u/0/
,,Website,Google Earth,https://earth.google.com/web/
,,Website,Google Map API,https://developers.google.com/maps/documentation/javascript/libraries-open-source
,,Website,Nomination API,https://nominatim.org/release-docs/latest/api/Search/
,,,,https://www.mapmyindia.com/api/
